"bonus_id","bonus_description_template"
1,"Increase Block chance by +X%"
2,"Increase Spell Block chance by +X%"
3,"Increase Block damage reduction by X%"
4,"Increase Spell Block damage reduction by X%"
5,"Increase Physical Accuracy by +X%"
6,"Increase Magical Accuracy by +X%"
7,"Increase Speed by X%"
8,"Increase Evasion by X%"
9,"Increase Status Effect Resistance by +X%"
10,"Increase Banish Resistance by +X%"
11,"Increase Bleed Resistance by +X%"
12,"Increase Blind Resistance by +X%"
13,"Increase Burn Resistance by +X%"
14,"Increase Chill Resistance by +X%"
15,"Increase Confuse Resistance by +X%"
16,"Increase Daze Resistance by +X%"
17,"Increase Disarm Resistance by +X%"
18,"Increase Fear Resistance by +X%"
19,"Increase Intimidate Resistance by +X%"
20,"Increase Poison Resistance by +X%"
21,"Increase Pull Resistance by +X%"
22,"Increase Push Resistance by +X%"
23,"Increase Silence Resistance by +X%"
24,"Increase Sleep Resistance by +X%"
25,"Increase Slow Resistance by +X%"
26,"Increase Stun Resistance by +X%"
27,"Increase Taunt Resistance by +X%"
28,"Increase Critical Hit Multiplier by +X"
29,"Increase Physical Defense by +X%"
30,"Increase Magical Defense by +X%"
31,"Decrease Physical Accuracy by -X%"
32,"Decrease Magical Accuracy by -X%"
33,"Increase Physical Damage by +X%"
34,"Increase Magical Damage by +X%"
35,"Gain +X% Riposte"
36,"Double the bonuses above this bonus when equipped with X accessory."
37,"Double the bonuses above this bonus when equipped with X off-hand."
38,"Double the bonuses above this bonus when equipped with X 1H Sword."
39,"Gain X% chance to Retaliate 1 upon receiving physical damage."
40,"Gain X Initiative after each successful Block"
41,"Increase Recovery chance by +X%"
42,"Double the bonuses above this bonus when equipped with X 2H Sword."
43,"Double the bonuses above this bonus when equipped with X 1H Axe."
44,"Double the bonuses above this bonus when equipped with X 2H Axe."
45,"Double the bonuses above this bonus when equipped with X 1H Mace."
46,"Double the bonuses above this bonus when equipped with X 2H Mace."
47,"Double the bonuses above this bonus when equipped with X 1H Spear."
48,"Double the bonuses above this bonus when equipped with X 2H Spear."
49,"Double the bonuses above this bonus when equipped with X Wand."
50,"Double the bonuses above this bonus when equipped with X Staff."
51,"Double the bonuses above this bonus when equipped with X Gloves."
52,"Double the bonuses above this bonus when equipped with X Bow."
53,"Double the bonuses above this bonus when equipped with X Dagger."
54,"Decrease Speed by X%"
55,"Decrease Healing Potency by X%"
56,"Critical Hits gain X% Lifesteal"
57,"Increase Critical Hit chance by +X%"
58,"Reduce Channeling times by X%"
